|                          PERSON | voter_votes_FOR |
| :------------------------------ | --------------: |
|                           Janet |             455 |
|                              G. |             302 |
|                          Murphy |             392 |
|                       Falsifian |             266 |
|                             nix |             227 |
|                            Aris |             238 |
|                           snail |             183 |
|                          Trigon |             204 |
|                          ais523 |             108 |
|                            Kate |             160 |
|                            juan |             108 |
|                          ATMunn |             157 |
|                          R. Lee |             119 |
|                          Gaelan |             124 |
|                             4st |             118 |
|                          Madrid |             178 |
| Publius Scribonius Scholasticus |             119 |
|                           Telna |              70 |
|                           Rance |              64 |
|                          Bernie |              68 |
|                          Alexis |              61 |
|                             omd |              33 |
|                           sukil |              39 |
|                   Jacob Arduino |              39 |
|                               o |              34 |
|                    cuddlybanana |              58 |
|                          Tcbapo |              32 |
|                Yachay Wayllukuq |              31 |
|                      D. Margaux |              28 |
|                        Warrigal |              26 |
|                           kiako |              15 |
|             Baron von Vanderham |              24 |
|                         Shy Owl |              20 |
|                           pikhq |              10 |
|                          Halian |              14 |
|                               L |              15 |
|                         Pilgore |               3 |
|                        Beokirby |               5 |
|                         ziproot |               2 |
|                          Walker |               2 |
|                     Tarhulindur |               1 |
|                        lucidiot |               5 |
|                           Aenet |               4 |
|               inalienableWright |               4 |
|                            JTAC |               4 |
|                           Goren |               3 |
|                            Noah |               1 |
