|                          PERSON | coauthor_written |
| :------------------------------ | ---------------: |
|                           Janet |              102 |
|                              G. |               81 |
|                             nix |               51 |
|                            Aris |               41 |
|                          Murphy |               40 |
|                          ais523 |               33 |
|                           snail |               30 |
|                          Trigon |               27 |
|                            Kate |               25 |
|                       Falsifian |               17 |
|                          Gaelan |               17 |
|                          Alexis |               17 |
|                             4st |               16 |
| Publius Scribonius Scholasticus |               13 |
|                            juan |                9 |
|                           kiako |                8 |
|                          Madrid |                7 |
|                          R. Lee |                6 |
|                Yachay Wayllukuq |                6 |
|                        Mischief |                6 |
|                             omd |                5 |
|                          Oerjan |                5 |
|                           Telna |                5 |
|                          Zipzap |                5 |
|                          ATMunn |                4 |
|                         ziproot |                2 |
|                      D. Margaux |                1 |
|                           Bucky |                1 |
|                    cuddlybanana |                1 |
|                         Shy Owl |                1 |
|                           Jimmy |                1 |
|                       mqyhlkahu |                1 |
|                           Immae |                1 |
|                        oliver.n |                1 |
