|                          PERSON | author_adopted_words |
| :------------------------------ | -------------------: |
|                           Janet |                20603 |
|                           snail |                 7659 |
|                            Aris |                11911 |
|                          Murphy |                 4658 |
|                              G. |                 8696 |
|                             nix |                13586 |
|                             4st |                 1246 |
|                        Mischief |                 3678 |
|                          R. Lee |                 1321 |
|                          Alexis |                 3200 |
|                       Falsifian |                  680 |
|                Yachay Wayllukuq |                  649 |
|                          ATMunn |                  814 |
|                            Kate |                 2385 |
|                          Gaelan |                  717 |
|                          ais523 |                 1359 |
|                           kiako |                  554 |
|                          Trigon |                  587 |
| Publius Scribonius Scholasticus |                  808 |
|                          Bernie |                 1370 |
|                            juan |                  474 |
|                   Jacob Arduino |                   77 |
|                             omd |                  617 |
|                          Madrid |                    0 |
|             Baron von Vanderham |                  221 |
|                           Telna |                   63 |
|                         Maloney |                   24 |
|                         juniper |                  199 |
|                      D. Margaux |                    0 |
|                        Warrigal |                   76 |
|                         ziproot |                   48 |
|                         Shy Owl |                    0 |
|                           Jimmy |                    0 |
|                      Quadrantal |                  101 |
|                        oliver.n |                    0 |
|                            grok |                   85 |
|                         Pilgore |                   91 |
|                          Zipzap |                   45 |
