|                          PERSON | author_avg_all_strength_margin |
| :------------------------------ | -----------------------------: |
|                           Janet |                          13.69 |
|                            Aris |                          14.08 |
|                           snail |                           0.83 |
|                              G. |                          19.13 |
|                             nix |                          15.96 |
|                          Murphy |                          -6.35 |
|                             4st |                         -16.66 |
|                          R. Lee |                         -17.54 |
|                          Alexis |                         -13.86 |
|                       Falsifian |                           7.87 |
|                          ATMunn |                           5.60 |
|                          Gaelan |                         -10.78 |
|                Yachay Wayllukuq |                         -17.71 |
|                        Mischief |                          12.00 |
| Publius Scribonius Scholasticus |                          24.18 |
|                          Trigon |                         -27.56 |
|                           kiako |                          -6.00 |
|                          ais523 |                          10.94 |
|                            Kate |                           5.53 |
|                          Bernie |                          -1.50 |
|                            juan |                           4.67 |
|                   Jacob Arduino |                           4.25 |
|                             omd |                          24.00 |
|                          Madrid |                         -87.67 |
|             Baron von Vanderham |                          39.67 |
|                           Telna |                          42.00 |
|                         Maloney |                         -20.00 |
|                         juniper |                         -18.13 |
|                      D. Margaux |                         -66.00 |
|                        Warrigal |                          16.50 |
|                         ziproot |                         -12.00 |
|                           Jimmy |                          -6.00 |
|                      Quadrantal |                          29.45 |
|                            grok |                          41.00 |
|                         Pilgore |                          18.00 |
|                         Shy Owl |                          -2.00 |
|                          Zipzap |                           3.00 |
